Металл Эконом ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;44 см;120 см;"металлический уголок 25 мм  и металическая проволка 6 мм,ножка труба 25*25,рисунок ""арфа"""
Металл Солнышко;welded;металл,заглушки пластик;черный,серый,синий,зеленный;44 см;120 см;"труба 20*20  ;металлическая проволка 6 мм,ножка труба 25*25.Рисунок ""Солнце"""
Металл Стандарт;welded;металл,заглушки пластик;черный,серый,синий,зеленный;44 см;120 см;"труба 20*20  ;металлическая проволка 6 мм,ножка труба 25*25.Рисунок ""арфа"""
Металл № 10 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;45 см;120 см;"труба 20*20  ;металлическая проволка 8 мм,ножка труба 25*25Рисунок ""ромб"""
Металл  № 15 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;43 см;120 см;"труба 20*20  ;металлическая проволка 8 мм,ножка труба 25*25.Рисунок ""номер 15"""
Металл № 13;welded;металл,заглушки пластик;черный,серый,синий,зеленный;54 см;120 см;"труба 20*20  ;металлическая проволка 8 мм,ножка труба 25*25.Рисунок ""номер 13"""
Металл № 9 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;50 см;120 см;"труба 20*20  ;металлическая проволка 8 мм,ножка труба 25*25.Рисунок ""номер 9"""
Металл Труба ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;67 см;120 см;"труба секции 30*40  ,рисунок из трубы 20*20 ,ножка труба 30*40.Рисунок ""Труба-лабиринт"""
Металл № 14 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;71 см;120 см;"труба 20*20  ;металлическая проволка 6 мм,ножка труба 25*25.Рисунок ""номер 14"""
Металл № 17;welded;металл,заглушки пластик;черный,серый,синий,зеленный;72 см;120 см;"труба 25*25  ;металлическая прут 10*10 мм,ножка труба 25*25.Рисунок ""желтый ромб"""
Литая № 1-1;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см;Сечении (мм) : труба20*20,полоса 4*20. Размер 2м*3м
Литая № 1-2;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см;Сечении (мм) : труба20*20,полоса 4*20. Размер 2м*2,5м
Литая № 1-3;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см;Сечении (мм) : труба20*20,полоса 4*20. Размер 2,5м*3м
Литая № 2-1;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см;Сечении (мм) : труба20*20,полоса 4*20. Размер 2м*3м
Литая № 2-2;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см;Сечении (мм) : труба20*20,полоса 4*20. Размер 2м*2,5м
Литая № 2-3;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см;Сечении (мм) : труба20*20,полоса 4*20. Размер 2,5м*3м
Литая № 3;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;50 см;120 см; Сечении (мм) : труба20*20,полоса 4*20. Размер на заказ с шагом 50 см
Литая № 4;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;50 см;120 см; Сечении (мм) : труба20*20,полоса 4*20. Размер на заказ с шагом 50 см
Литая № 5;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;50 см;120 см; Сечении (мм) : труба20*20,полоса 4*20. Размер на заказ с шагом 50 см
Ковка № 1;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 14 *14. Рисунок  ( мм ) 12*12 ; кованные  элементы,ножка (мм)  40*40"
Ковка № 2;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 12 *12. Рисунок  ( мм ) 10*10 ; ножка (мм)  40*40"
Ковка № 3;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 14 *14. Рисунок  ( мм ) 12*12 ; кованные элементы,ножка (мм)  40*40"
Ковка № 4;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 14 *14. Рисунок  ( мм ) 12*12 ; кованные элементы,ножка (мм)  40*40"
Ковка № 7;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;52 см;120 см;"Горячая ковка. Пояс  нижний (мм)- 12 *12. Рисунок  ( мм ) 12*12 ; кованные элементы,ножка (мм)  40*40"
Ковка № 8;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 14 *14. Рисунок  ( мм ) 12*12 ; кованные  элементы,ножка (мм)  40*40"
Ковка № 10;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;65 см;120 см;"Горячая ковка. Пояс  нижний (мм)- 12 *12. Рисунок  ( мм ) 12*12 ; кованные  элементы,ножка (мм)  40*40"
Ковка № 11;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;54 см;120 см;"Горячая ковка. Пояс  нижний (мм)- 12 *12. Рисунок  ( мм ) 12*12 ; кованные  элементы,ножка (мм)  40*40"
Ковка № 13;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 14 *14. Рисунок  ( мм ) 12*12 ; кованные элементы,ножка (мм)  40*40"
Ковка № 14;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;75 см;120 см;"Горячая ковка. Пояс  верхний/нижний (мм)- 14 *14. Рисунок  ( мм ) 12*12 ; кованные элементы,ножка (мм)  40*40"
Ковка № 15;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;84 см;120 см;"Горячая ковка. Пояс вехний полоса 6 мм на 20 мм  Рисунок ( мм ) 12*12 ; кованные элементы,ножка (мм)  40*40"
МЕВ 001 черная;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см;Ограда из гранита или мрамора с столбиками и поперечными балками,с опорами.
МЕВ 001 светлосерая;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см;Ограда из гранита или мрамора с столбиками и поперечными балками,с опорами.
МЕВ 001 комбинированная;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см;Ограда из гранита или мрамора с столбиками и поперечными балками,с опорами.
МЕВ 001 зеленая;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см;Ограда из гранита или мрамора с столбиками и поперечными балками,с опорами.
МЕВ 001 красная;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см;Ограда из гранита или мрамора с столбиками и поперечными балками,с опорами.
МЕВ 001 мрамор комбинированный;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см;Ограда из гранита или мрамора с столбиками и поперечными балками,с опорами.
SC-001 волна;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;41 см;60 см;Ограда из гранита или мрамора с угловыми ограждениями и промежуточными элементами
SC-007 круг;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;41 см;60 см;Ограда из гранита или мрамора с угловыми ограждениями и промежуточными элементами
GFE;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;42 см;59 см;Ограда из гранита или мрамора с балясинами, столбами и парапетом.
GFK 1;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;40 см;59 см;Ограда из гранита или мрамора с угловыми ограждениями .
GFK 2;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;40 см;59 см;Ограда из гранита или мрамора с угловыми ограждениями .
GFP;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;35 см;32 см;Ограда из гранита или мрамора с столбиками и поперечными сплошными  балками .
Дж ограда 4;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;35 см;45 см;Ограда из гранита или мрамора с столбиками и поперечными сплошными  балками .
Дж ограда 5;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;45 см;70 см;Мраморная ограда . Столбики-шары и поперечная фигурная,сплошная балка
Дж ограда 9;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;20 см;58 см;Ограда из гранита или мрамора с столбиками и поперечными сплошными  балками .На столбике установлен шар.
Дж ограда 10;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;40 см;65 см;Ограда из гранита или мрамора с столбиками и поперечными сплошными  балками .На столбике установлен шар.Парапет сплошной
Дж ограда 20;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;20 см;30 см;Ограда из гранита  с столбиками и поперечными сплошными  балками .
Дж ограда 30;masonry-fence;Гранит или мрамор,с кованными элементами.;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;48 см;52 см;Ограда кованно-гранитная  Столбики из гранита  , секциии между столбами-кованное железо.