Металл Эконом ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;44 см;120 см
Металл Солнышко;welded;металл,заглушки пластик;черный,серый,синий,зеленный;44 см;120 см
Металл Стандарт;welded;металл,заглушки пластик;черный,серый,синий,зеленный;44 см;120 см
Металл № 10 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;45 см;120 см
Металл  № 15 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;43 см;120 см
Металл № 13;welded;металл,заглушки пластик;черный,серый,синий,зеленный;54 см;120 см
Металл № 9 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;50 см;120 см
Металл Труба ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;67 см;120 см
Металл № 14 ;welded;металл,заглушки пластик;черный,серый,синий,зеленный;71 см;120 см
Металл № 17;welded;металл,заглушки пластик;черный,серый,синий,зеленный;72 см;120 см
Литая № 1-1;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см
Литая № 1-2;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см
Литая № 1-3;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см
Литая № 2-1;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см
Литая № 2-2;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см
Литая № 2-3;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;49 края,центр 40;120 см
Литая № 3;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;50 см;120 см
Литая № 4;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;50 см;120 см
Литая № 5;molten;металл,заглушки пластик;покрытие:полимерно-порошковое;50 см;120 см
Ковка № 1;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см
Ковка № 2;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см
Ковка № 3;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см
Ковка № 4;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см
Ковка № 7;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;52 см;120 см
Ковка № 8;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60см;120 см
Ковка № 10;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;65 см;120 см
Ковка № 11;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;54 см;120 см
Ковка № 13;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;60 см;120 см
Ковка № 14;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;75 см;120 см
Ковка № 15;forged;кованный металл;Чёрная, чёрная молотковая,бронзовая или медная,с эффектом патины.;84 см;120 см
МЕВ 001 черная;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см
МЕВ 001 светлосерая;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см
МЕВ 001 комбинированная;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см
МЕВ 001 зеленая;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см
МЕВ 001 красная;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см
МЕВ 001 мрамор комбинированный;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;23 см;30 см
SC-001 волна;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;41 см;60 см
SC-007 круг;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;41 см;60 см
GFE;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;42 см;59 см
GFK 1;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;40 см;59 см
GFK 2;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;40 см;59 см
GFP;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;35 см;32 см
Дж ограда 4;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;35 см;45 см
Дж ограда 5;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;45 см;70 см
Дж ограда 9;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;20 см;58 см
Дж ограда 10;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;40 см;65 см
Дж ограда 20;masonry-fence;Гранит или мрамор;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;20 см;30 см
Дж ограда 30;masonry-fence;Гранит или мрамор,с кованными элементами.;Черная,белая,красная,зеленная,синяя,комбинированная или по цвету гранита или мрамора;48 см;52 см
